"cowID","farmID","temp","rain","permeab","hight","slope","age","parasite"
1,1,10.5,898,2,467,7,2,0
2,1,10.5,898,2,467,7,8,0
3,1,10.5,898,2,467,7,6,0
4,1,10.5,898,2,467,7,3,0
5,1,10.5,898,2,467,7,8,0
6,1,10.5,898,2,467,7,2,0
7,1,10.5,898,2,467,7,2,0
8,1,10.5,898,2,467,7,6,0
9,1,10.5,898,2,467,7,3,0
10,1,10.5,898,2,467,7,1,0
11,1,10.5,898,2,467,7,2,0
12,1,10.5,898,2,467,7,5,0
13,1,10.5,898,2,467,7,4,0
14,1,10.5,898,2,467,7,5,0
15,1,10.5,898,2,467,7,4,0
16,1,10.5,898,2,467,7,7,0
17,1,10.5,898,2,467,7,7,0
18,1,10.5,898,2,467,7,4,0
19,1,10.5,898,2,467,7,7,0
20,1,10.5,898,2,467,7,8,0
21,1,10.5,898,2,467,7,4,0
22,1,10.5,898,2,467,7,4,0
23,1,10.5,898,2,467,7,8,0
24,1,10.5,898,2,467,7,6,0
25,1,10.5,898,2,467,7,3,0
26,1,10.5,898,2,467,7,9,0
27,1,10.5,898,2,467,7,9,0
28,1,10.5,898,2,467,7,4,0
29,1,10.5,898,2,467,7,6,0
30,1,10.5,898,2,467,7,6,0
31,1,10.5,898,2,467,7,8,0
32,1,10.5,898,2,467,7,5,0
33,1,10.5,898,2,467,7,4,0
34,1,10.5,898,2,467,7,2,1
35,1,10.5,898,2,467,7,5,0
36,1,10.5,898,2,467,7,4,0
37,2,11.9,1201,1,338,10,8,0
38,2,11.9,1201,1,338,10,4,0
39,2,11.9,1201,1,338,10,8,1
40,2,11.9,1201,1,338,10,5,1
41,2,11.9,1201,1,338,10,6,0
42,2,11.9,1201,1,338,10,8,0
43,2,11.9,1201,1,338,10,2,0
44,2,11.9,1201,1,338,10,3,0
45,2,11.9,1201,1,338,10,5,0
46,3,12.4,1162,1,138,8,7,0
47,3,12.4,1162,1,138,8,9,0
48,3,12.4,1162,1,138,8,10,0
49,3,12.4,1162,1,138,8,4,1
50,3,12.4,1162,1,138,8,8,1
51,3,12.4,1162,1,138,8,4,1
52,3,12.4,1162,1,138,8,3,0
53,3,12.4,1162,1,138,8,4,0
54,3,12.4,1162,1,138,8,9,0
55,3,12.4,1162,1,138,8,5,0
56,3,12.4,1162,1,138,8,5,0
57,3,12.4,1162,1,138,8,1,0
58,3,12.4,1162,1,138,8,9,0
59,3,12.4,1162,1,138,8,3,0
60,3,12.4,1162,1,138,8,9,0
61,3,12.4,1162,1,138,8,8,0
62,3,12.4,1162,1,138,8,5,0
63,3,12.4,1162,1,138,8,4,0
64,3,12.4,1162,1,138,8,2,0
65,3,12.4,1162,1,138,8,4,0
66,3,12.4,1162,1,138,8,5,0
67,4,12.3,1371,2,457,5,7,0
68,4,12.3,1371,2,457,5,9,0
69,4,12.3,1371,2,457,5,9,0
70,4,12.3,1371,2,457,5,7,0
71,4,12.3,1371,2,457,5,9,1
72,4,12.3,1371,2,457,5,6,0
73,4,12.3,1371,2,457,5,5,0
74,4,12.3,1371,2,457,5,2,0
75,4,12.3,1371,2,457,5,12,1
76,4,12.3,1371,2,457,5,6,0
77,4,12.3,1371,2,457,5,5,0
78,4,12.3,1371,2,457,5,6,0
79,4,12.3,1371,2,457,5,10,0
80,4,12.3,1371,2,457,5,5,0
81,4,12.3,1371,2,457,5,7,1
82,4,12.3,1371,2,457,5,5,0
83,4,12.3,1371,2,457,5,3,1
84,4,12.3,1371,2,457,5,11,0
85,4,12.3,1371,2,457,5,7,0
86,4,12.3,1371,2,457,5,7,1
87,4,12.3,1371,2,457,5,11,0
88,4,12.3,1371,2,457,5,5,0
89,4,12.3,1371,2,457,5,2,0
90,4,12.3,1371,2,457,5,1,0
91,4,12.3,1371,2,457,5,9,0
92,4,12.3,1371,2,457,5,6,0
93,4,12.3,1371,2,457,5,6,0
94,4,12.3,1371,2,457,5,8,0
95,4,12.3,1371,2,457,5,3,0
96,4,12.3,1371,2,457,5,6,1
97,4,12.3,1371,2,457,5,6,0
98,4,12.3,1371,2,457,5,4,0
99,4,12.3,1371,2,457,5,8,0
100,4,12.3,1371,2,457,5,3,0
101,4,12.3,1371,2,457,5,4,1
102,4,12.3,1371,2,457,5,6,0
103,4,12.3,1371,2,457,5,7,0
